Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SKU
J1,,M03JST,JST-3-PTH,Header 3,,,,,,
J6,,M02JST-PTH-2,JST-2-PTH,"Standard 2-pin 0.1"" header. Use with",,,,,CONN-09863,PRT-09914
JP2,,M02PTH,1X02,Header 2,,,,,,
JP3,,M02PTH,1X02,Header 2,,,,,,
JP6,,M12PTH,1X12,Header 12,,,,,,
JP7,,M12PTH,1X12,Header 12,,,,,,
SV1,,FE12-1,FE12,FEMALE HEADER,,,unknown,unknown,,
SV2,,FE12-1,FE12,FEMALE HEADER,,,unknown,unknown,,
U$1,ULTRASONIC-HC-SR04,ULTRASONIC-HC-SR04,ULTRASONIC-HC-SR04,Ultrasonic Ranging Module HC-SR04,,,,,,
U$3,ARDUINO_PRO_MINI,ARDUINO_PRO_MINI,ARDUINO_PRO_MINI,,,,,,,
