Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SKU
J2,LOAD_CELL1X03-PTH,LOAD_CELL1X03-PTH,1X03,Half-wheatstone bridge Load Cell,,,,,,
J3,LOAD_CELL1X03-PTH,LOAD_CELL1X03-PTH,1X03,Half-wheatstone bridge Load Cell,,,,,,
J4,LOAD_CELL1X03-PTH,LOAD_CELL1X03-PTH,1X03,Half-wheatstone bridge Load Cell,,,,,,
J5,LOAD_CELL1X03-PTH,LOAD_CELL1X03-PTH,1X03,Half-wheatstone bridge Load Cell,,,,,,
J6,,M02JST-PTH-2,JST-2-PTH,"Standard 2-pin 0.1"" header. Use with",,,,,CONN-09863,PRT-09914
J7,,M05JST,JST-5-PTH,Header 5,,,,,,
JP2,,M02PTH,1X02,Header 2,,,,,,
JP3,,M02PTH,1X02,Header 2,,,,,,
JP6,,M12PTH,1X12,Header 12,,,,,,
JP7,,M12PTH,1X12,Header 12,,,,,,
JP8,UL,M03PTH,1X03,Header 3,,,,,,
JP9,UR,M03PTH,1X03,Header 3,,,,,,
JP10,LL,M03PTH,1X03,Header 3,,,,,,
JP11,LR,M03PTH,1X03,Header 3,,,,,,
JP12,,M05PTH,1X05,Header 5,,,,,,
SV1,,FE12-1,FE12,FEMALE HEADER,,,unknown,unknown,,
SV2,,FE12-1,FE12,FEMALE HEADER,,,unknown,unknown,,
U$1,HX711_LOADCELL_AMP,HX711_LOADCELL_AMP,HX711_LOADCELL_AMP,,,,,,,
U$3,ARDUINO_PRO_MINI,ARDUINO_PRO_MINI,ARDUINO_PRO_MINI,,,,,,,
