Part,Value,Device,Package,Description,SKU
C1,,C-EU025-024X044,C025-024X044,"CAPACITOR, European symbol",
C2,,C-EU025-024X044,C025-024X044,"CAPACITOR, European symbol",
FXMA108,FXMA108,FXMA108,FXM108,,
J1,,M05JST,JST-5-PTH,Header 5,
J2,,M05JST,JST-5-PTH,Header 5,
J3,,M05JST,JST-5-PTH,Header 5,
J4,,M05JST,JST-5-PTH,Header 5,
J5,,M05JST,JST-5-PTH,Header 5,
J6,,M05JST,JST-5-PTH,Header 5,
J7,,M05JST,JST-5-PTH,Header 5,
J8,Power Source,M02JST-PTH-2-KIT,JST-2-PTH-KIT,"Standard 2-pin 0.1"" header. Use with",
J9,Thermal Printer UART,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
JP1,PI,RASBERRYPI_IDC,RASBERRYPI_IDC,Rasberry PI IDC Header,
JP2,Right,HEADER-1X1380MIL,1X13_ROUND_76MIL,,
JP3,Left,HEADER-1X1380MIL,1X13_ROUND_76MIL,,
