Part,Value,Device,Package,Description,SKU
J1,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J2,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J3,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J4,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J5,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J6,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J7,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J8,Power Source,M02JST-PTH-2-KIT,JST-2-PTH-KIT,"Standard 2-pin 0.1"" header. Use with",
J9,Thermal Printer UART,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
J10,,M03JST-PTH,JST-3-PTH,Header 3,PRT-09915
JP1,PI,RASBERRYPI_IDC,RASBERRYPI_IDC,Rasberry PI IDC Header,
JP2,Right,HEADER-1X1380MIL,1X13_ROUND_76MIL,,
JP3,Left,HEADER-1X1380MIL,1X13_ROUND_76MIL,,
