Time [s],Value,Parity Error,Framing Error
0.009769500000000,'252',,Error
0.011433000000000,'159',,Error
0.012576750000000,'147',,
0.013720500000000,'159',,Error
0.015072250000000,T,,
0.016216000000000,H,,
0.017359750000000,O,,
0.018503500000000,'0',,Error
0.209783750000000,'188',,
0.210927500000000,'252',,Error
0.212591000000000,'159',,Error
0.213735000000000,'147',,
0.214878750000000,'151',,Error
0.216230250000000,L,,
0.217374000000000,h,,
0.218517750000000,O,,
0.219661500000000,'0',,Error
0.410123000000000,'254',,Error
0.411682500000000,'164',,
0.413034250000000,'145',,Error
0.414386000000000,|,,
0.415529750000000,g,,
0.416673500000000,O,,
0.417817250000000,'0',,Error
0.610241250000000,'188',,Error
0.712581500000000,'188',,Error
0.912556750000000,'252',,Error
0.914220250000000,'159',,Error
0.915364000000000,'147',,
0.916507750000000,'159',,Error
0.917859500000000,T,,
0.919003250000000,H,,
0.920147000000000,O,,
0.921290750000000,'0',,Error
1.112584000000000,'188',,
1.113727750000000,'252',,Error
1.115391250000000,'159',,Error
1.116535000000000,'147',,
1.117678750000000,'151',,Error
1.119030500000000,L,,
1.120174250000000,h,,
1.121318000000000,O,,
1.122461750000000,'0',,Error
1.312910250000000,'254',,Error
1.314469750000000,'164',,
1.315821500000000,'145',,Error
1.317173250000000,|,,
1.318317000000000,g,,
1.319460750000000,O,,
1.320604500000000,'0',,Error
1.513028500000000,'188',,Error
1.615368750000000,'188',,Error
1.815331000000000,'252',,Error
1.816994750000000,'159',,Error
1.818138500000000,'147',,
1.819282250000000,'159',,Error
1.820634000000000,T,,
1.821777750000000,H,,
1.822921500000000,O,,
1.824065250000000,'0',,Error
2.015358500000000,'188',,
2.016502250000000,'252',,Error
2.018165750000000,'159',,Error
2.019309500000000,'147',,
2.020453250000000,'151',,Error
2.021805000000000,L,,
2.022948750000000,h,,
2.024092500000000,O,,
2.025236250000000,'0',,Error
2.215684750000000,'254',,Error
2.217244250000000,'164',,
2.218596000000000,'145',,Error
2.219947750000000,|,,
2.221091500000000,g,,
2.222235250000000,O,,
2.223379000000000,'0',,Error
2.415803000000000,'188',,Error
2.518143250000000,'188',,Error
2.718105500000000,'252',,Error
2.719769250000000,'159',,Error
2.720913000000000,'147',,
2.722056750000000,'159',,Error
2.723408500000000,T,,
2.724552250000000,H,,
2.725696000000000,O,,
2.726839750000000,'0',,Error
2.918133000000000,'188',,
2.919276750000000,'252',,Error
2.920940500000000,'159',,Error
2.922084250000000,'147',,
2.923228000000000,'151',,Error
2.924579500000000,L,,
2.925723250000000,h,,
2.926867000000000,O,,
2.928010750000000,'0',,Error
3.118472250000000,'254',,Error
3.120032000000000,'164',,
3.121383750000000,'145',,Error
3.122735500000000,|,,
3.123879250000000,g,,
3.125023000000000,O,,
3.126166750000000,'0',,Error
3.318577750000000,'188',,Error
3.420918000000000,'188',,Error
3.620893500000000,'252',,Error
3.622557000000000,'159',,Error
3.623700750000000,'147',,
3.624844500000000,'159',,Error
3.626196250000000,T,,
3.627340000000000,H,,
3.628483750000000,O,,
3.629627500000000,'0',,Error
3.820907750000000,'188',,
3.822051500000000,'252',,Error
3.823715250000000,'159',,Error
3.824859000000000,'147',,
3.826002750000000,'151',,Error
3.827354500000000,L,,
3.828498250000000,h,,
3.829642000000000,O,,
3.830785750000000,'0',,Error
4.021247250000000,'254',,Error
4.022806750000000,'164',,
4.024158500000000,'145',,Error
4.025510250000000,|,,
4.026654000000000,g,,
4.027797750000000,O,,
4.028941500000000,'0',,Error
4.221365500000000,'188',,Error
4.323718750000000,'188',,Error
4.523681250000000,'252',,Error
4.525345000000000,'159',,Error
4.526488750000000,'147',,
4.527632500000000,'159',,Error
4.528984000000000,T,,
4.530127750000000,H,,
4.531271500000000,O,,
4.532415250000000,'0',,Error
4.723695750000000,'188',,
4.724839500000000,'252',,Error
4.726503250000000,'159',,Error
4.727647000000000,'147',,
4.728790750000000,'151',,Error
4.730142250000000,L,,
4.731286000000000,h,,
4.732429750000000,O,,
4.733573500000000,'0',,Error
4.924035250000000,'254',,Error
4.925594750000000,'164',,
4.926946500000000,'145',,Error
4.928298250000000,|,,
4.929442000000000,g,,
4.930585750000000,O,,
4.931729500000000,'0',,Error
5.124153750000000,'188',,Error
5.226494000000000,'188',,Error
5.426469500000000,'252',,Error
5.428133000000000,'159',,Error
5.429276750000000,'147',,
5.430420500000000,'159',,Error
5.431772250000000,T,,
5.432916000000000,H,,
5.434059750000000,O,,
5.435203500000000,'0',,Error
5.626497000000000,'188',,
5.627640750000000,'252',,Error
5.629304250000000,'159',,Error
5.630448000000000,'147',,
5.631591750000000,'151',,Error
5.632943500000000,L,,
5.634087250000000,h,,
5.635231000000000,O,,
5.636374750000000,'0',,Error
5.826823250000000,'254',,Error
5.828383000000000,'164',,
5.829734750000000,'145',,Error
5.831086500000000,|,,
5.832230250000000,g,,
5.833374000000000,O,,
5.834517750000000,'0',,Error
6.026941750000000,'188',,Error
6.129282250000000,'188',,Error
6.329257750000000,'252',,Error
6.330921250000000,'159',,Error
6.332065000000000,'147',,
6.333208750000000,'159',,Error
6.334560500000000,T,,
6.335704250000000,H,,
6.336848000000000,O,,
6.337991750000000,'0',,Error
6.529272250000000,'188',,
6.530416000000000,'252',,Error
6.532079750000000,'159',,Error
6.533223500000000,'147',,
6.534367250000000,'151',,Error
6.535719000000000,L,,
6.536862750000000,h,,
6.538006500000000,O,,
6.539150250000000,'0',,Error
6.729611750000000,'254',,Error
6.731171500000000,'164',,
6.732523250000000,'145',,Error
6.733875000000000,|,,
6.735018750000000,g,,
6.736162500000000,O,,
6.737306250000000,'0',,Error
6.929730500000000,'188',,Error
7.032070750000000,'188',,Error
7.232033250000000,'252',,Error
7.233697000000000,'159',,Error
7.234840750000000,'147',,
7.235984500000000,'159',,Error
7.237336250000000,T,,
7.238480000000000,H,,
7.239623750000000,O,,
7.240767500000000,'0',,Error
7.432061000000000,'188',,
7.433204750000000,'252',,Error
7.434868250000000,'159',,Error
7.436012000000000,'147',,
7.437155750000000,'151',,Error
7.438507500000000,L,,
7.439651250000000,h,,
7.440795000000000,O,,
7.441938750000000,'0',,Error
7.632387500000000,'254',,Error
7.633947250000000,'164',,
7.635298750000000,'145',,Error
7.636650500000000,|,,
7.637794250000000,g,,
7.638938000000000,O,,
7.640081750000000,'0',,Error
7.832506000000000,'188',,Error
7.934846250000000,'188',,Error
8.134809000000001,'252',,Error
8.136472749999999,'159',,Error
8.137616500000000,'147',,
8.138760250000001,'159',,Error
8.140112000000000,T,,
8.141255749999999,H,,
8.142399500000000,O,,
8.143543250000001,'0',,Error
8.334823750000000,'188',,
8.335967500000001,'252',,Error
8.337631000000000,'159',,Error
8.338774750000001,'147',,
8.339918500000000,'151',,Error
8.341270250000001,L,,
8.342414000000000,h,,
8.343557750000000,O,,
8.344701499999999,'0',,Error
8.535163250000000,'254',,Error
8.536723000000000,'164',,
8.538074750000000,'145',,Error
8.539426250000000,|,,
8.540570000000001,g,,
8.541714000000001,O,,
8.542857750000000,'0',,Error
8.735282000000000,'188',,Error
8.837622250000001,'188',,Error
9.037597999999999,'252',,Error
9.039261750000000,'159',,Error
9.040405500000000,'147',,
9.041549249999999,'159',,Error
9.042901000000001,T,,
9.044044749999999,H,,
9.045188500000000,O,,
9.046332250000001,'0',,Error
9.237612750000000,'188',,
9.238756499999999,'252',,Error
9.240420250000000,'159',,Error
9.241564000000000,'147',,
9.242707749999999,'151',,Error
9.244059500000001,L,,
9.245203249999999,h,,
9.246347000000000,O,,
9.247490750000001,'0',,Error
9.437952500000000,'254',,Error
9.439512000000001,'164',,
9.440863750000000,'145',,Error
9.442215500000000,|,,
9.443359250000000,g,,
9.444502999999999,O,,
9.445646750000000,'0',,Error
9.638071000000000,'188',,Error
9.740411500000000,'188',,Error
9.940386999999999,'252',,Error
9.942050750000000,'159',,Error
9.943194500000001,'147',,
9.944338250000000,'159',,Error
9.945690000000001,T,,
9.946833750000000,H,,
9.947977500000000,O,,
9.949121249999999,'0',,Error
